,description,book_id
0,"
""Most Americans are not free. They are chained to their paychecks............The women profiled herein will not tolerate such an existence. They are a different breed. They are free. They are cultivators of wealth and satisfied with life."" Dr. Thomas J. Stanley first swept aside the mythical magic curtain of wealth with The Millionaire Next Door, revealing just who and how
""Most Americans are not free. They are chained to their paychecks............The women profiled herein will not tolerate such an existence. They are a different breed. They are free. They are cultivators of wealth and satisfied with life."" Dr. Thomas J. Stanley first swept aside the mythical magic curtain of wealth with The Millionaire Next Door, revealing just who and how common the truly wealthy were in this country as well as the characteristics and habits that made them so. With Millionaire Women Next Door, he now focuses on one of the least understood but increasingly rich demographics. ""Why write another book that profiles millionaires?"" Stanley asks. ""The vast majority of the millionaire respondents (92 percent) in The Millionaire Next Door were men............ I felt that it was indeed time for successful businesswomen of the self-made variety to be heard."" And heard they are in this book that is every bit as informative and inspirational as the author's earlier works. Stanley's thoroughly researched findings and conclusions will fascinate readers everywhere. They'll definitely come away more knowledgeable and greatly inspired by women who have found the key to riches.
...more
",1000
1,"
""Most Americans are not free. They are chained to their paychecks. . . . The women profiled herein will not tolerate such an existence. They are a different breed. They are free. They are cultivators of wealth and satisfied with life. They are in control of their own destiny.""Eight years ago, Dr. Thomas J. Stanley swept aside the mythical magic curtain of wealth to reveal
""Most Americans are not free. They are chained to their paychecks. . . . The women profiled herein will not tolerate such an existence. They are a different breed. They are free. They are cultivators of wealth and satisfied with life. They are in control of their own destiny.""Eight years ago, Dr. Thomas J. Stanley swept aside the mythical magic curtain of wealth to reveal The Millionaire Next Door. America found out just who and how common the truly wealthy were in this country-and we learned the characteristics and habits that made them so. Now the author of the follow-up The Millionaire Mind focuses on one of the least understood but increasingly rich demographics: Millionaire Women Next Door, available in paperback for the first time. ""Why write another book that profiles millionaires?"" Stanley asks. ""The vast majority of the millionaire respondents (92 percent) in The Millionaire Next Door were men. . . . I felt that it was indeed time for successful businesswomen of the self-made variety to be heard."" Readers everywhere will be fascinated by Stanley's thoroughly researched findings and conclusions. They'll come away considerably more knowledgeable and greatly inspired by women who have found the key to riches.Millionaire Women Next Door explores the meaning of wealth and the avenues that female entrepreneurs and businesspeople have traveled. The book examines their choices, natures, working styles, and lifestyles.
...more
",1001
2,"
...just how to do as well as the millionaire next door with less than half the capital. If you want a financially comfortable retirement you must read this.
",1002
3,"
The incredible national bestseller that is changing people's lives-- and increasing their net worth! CAN YOU SPOT THE MILLIONAIRE NEXT DOOR?Who are the rich in this country? What do they do? Where do they shop? What do they drive? How do they invest? Where did their ancestors come from? How did they get rich? Can I ever become one of them?Get the answers in ""The
The incredible national bestseller that is changing people's lives-- and increasing their net worth! CAN YOU SPOT THE MILLIONAIRE NEXT DOOR?Who are the rich in this country? What do they do? Where do they shop? What do they drive? How do they invest? Where did their ancestors come from? How did they get rich? Can I ever become one of them?Get the answers in ""The Millionaire Next Door"", the never-before-told story about wealth in America. You'll be surprised at what you find out...
...more
",1003
4,"
Success is not an accident -- it's a habit. For over twenty years, Napoleon Hill studied and analyzed the lives of successful men and finally distilled their secrets of personal achievement into a workable philosophy and an action plan that anyone can follow. It is a work that has inspired, motivated, and enabled others to achieve their lifelong dreams. It can do the same
Success is not an accident -- it's a habit. For over twenty years, Napoleon Hill studied and analyzed the lives of successful men and finally distilled their secrets of personal achievement into a workable philosophy and an action plan that anyone can follow. It is a work that has inspired, motivated, and enabled others to achieve their lifelong dreams. It can do the same for you.
...more
",1004
5,"
Think and Grow Rich has been called the ""Granddaddy of All Motivational Literature."" It was the first book to boldly ask, ""What makes a winner?"" The man who asked and listened for the answer, Napoleon Hill, is now counted in the top ranks of the world's winners himself. The most famous of all teachers of success spent ""a fortune and the better part of a lifetime of effort""
Think and Grow Rich has been called the ""Granddaddy of All Motivational Literature."" It was the first book to boldly ask, ""What makes a winner?"" The man who asked and listened for the answer, Napoleon Hill, is now counted in the top ranks of the world's winners himself. The most famous of all teachers of success spent ""a fortune and the better part of a lifetime of effort"" to produce the ""Law of Success"" philosophy that forms the basis of his books and that is so powerfully summarized in this one.In the original Think and Grow Rich, published in 1937, Hill draws on stories of Andrew Carnegie, Thomas Edison, Henry Ford, and other millionaires of his generation to illustrate his principles. In the updated version, Arthur R. Pell, Ph.D., a nationally known author, lecturer, and consultant in human resources management and an expert in applying Hill's thought, deftly interweaves anecdotes of how contemporary millionaires and billionaires, such as Bill Gates, Mary Kay Ash, Dave Thomas, and Sir John Templeton, achieved their wealth. Outmoded or arcane terminology and examples are faithfully refreshed to preclude any stumbling blocks to a new generation of readers.
...more
",1005
6,"
Think and Grow Rich!: The Original Version, Restored and Revised . Napoleon Hill's classic book -- the all-time bestseller in the personal success field -- offers a life-altering experience. It teaches thousands of people the practical steps to high achievement and financial independence every year. This new edition is the first to contain extensive footnotes, endnotes,
Think and Grow Rich!: The Original Version, Restored and Revised . Napoleon Hill's classic book -- the all-time bestseller in the personal success field -- offers a life-altering experience. It teaches thousands of people the practical steps to high achievement and financial independence every year. This new edition is the first to contain extensive footnotes, endnotes, appendices, and an index. Now more than a motivational work, it is also a reference book and a mini-history book providing valuable information about Hill, his times, and his success philosophy. TGR's greatest value is not only that it can make you financially successful. It can help YOU -- or ANYONE -- get whatever it is that you desire from life.
...more
",1006
7,"
Ao revelar o segredo do seu sucesso ao jornalista Napoleon Hill, o multimilionário Andrew Carnegie serviu de inspiração a um dos maiores best sellers de todos os tempos. Pense e Fique Rico reúne os segredos de alguns dos homens mais influentes do século XX, como Henry Ford, Jonh D. Rockefeller ou George Eastman, o fundador da Kodak. A formula mágica que os conduziu ao
Ao revelar o segredo do seu sucesso ao jornalista Napoleon Hill, o multimilionário Andrew Carnegie serviu de inspiração a um dos maiores best sellers de todos os tempos. Pense e Fique Rico reúne os segredos de alguns dos homens mais influentes do século XX, como Henry Ford, Jonh D. Rockefeller ou George Eastman, o fundador da Kodak. A formula mágica que os conduziu ao sucesso encontra-se nos 15 capítulos de Pense e Fique Rico, um livro prático que transformou a vida de milhares de pessoas.Conheça os três princípios básicos de Napoleon Hill:> Qualquer sucesso começa com uma ideia> Qualquer pensamento exige acção> pense positivo e obterá resultados positivos
...more
",1007
8,"
Be prepared, therefore, when you expose yourself to the influence of this philosophy, to experience a changed life which may help you not only to negotiate your way through life with harmony and understanding, but also to prepare you for the accumulation of material riches in abundance. Teaching, for the first time, the famous Carnegie formula for money-making, based upon
Be prepared, therefore, when you expose yourself to the influence of this philosophy, to experience a changed life which may help you not only to negotiate your way through life with harmony and understanding, but also to prepare you for the accumulation of material riches in abundance. Teaching, for the first time, the famous Carnegie formula for money-making, based upon the thirteen proven steps to riches.
...more
",1008
9,"
Published around the world, this book has become an undisputed classic in the field of motivational literature. Inspired by Andrew Carnegie, it has been cited by many as the ""calling card"" that propelled countless numbers to fame and fortune and is the standard against which all other motivational material is measured. Think and Grow Rich and The Think and Grow Rich Action
Published around the world, this book has become an undisputed classic in the field of motivational literature. Inspired by Andrew Carnegie, it has been cited by many as the ""calling card"" that propelled countless numbers to fame and fortune and is the standard against which all other motivational material is measured. Think and Grow Rich and The Think and Grow Rich Action Pack have single-handedly changed the lives of millions of men, women and young adults and produced a legacy of achievement that includes many of today's and yesterday's leaders in business, government and civic organizations.""I knew Napoleon Hill in 1922 when I was a student in Salem College in the town of my birth. Mr. Hill came to our campus as the commencement speaker that year. As I listened to him, I heard something other than the words he spoke. I felt the substance—the wisdom—and the spirit of a man and his philosophy. Mr. Hill said ""the most powerful instrument we have in our hand is the power of the mind.' Napoleon Hill compiled this philosophy of American achievement for the benefit of all people. I strongly commend this philosophy to you for achievement and service in your chosen field."" —Senator Jennings Randolph, West Virginia
...more
",1009
