,description,book_id
0,"
In April 1992 astrophysicist George Smoot announced how he and his team of scientists had found ""ripples in the fabric of space-time"" that were made in the first trillionth of a second after the cataclysmic moment of creation. Their discovery of the ripples was central to the Big Bang Theory, which explains why the universe did not remain uniformly smooth, but became the
In April 1992 astrophysicist George Smoot announced how he and his team of scientists had found ""ripples in the fabric of space-time"" that were made in the first trillionth of a second after the cataclysmic moment of creation. Their discovery of the ripples was central to the Big Bang Theory, which explains why the universe did not remain uniformly smooth, but became the ""lumpy"" universe of today, filled with stars, planets and galaxies. By the summer of 1991 Smoot's Cosmic Background Explorer (COBE) satellite had discovered the tiny ripples that had been put there by the primeval explosion process. Shaped by the force of gravity, the smaller of these ripples have grown into galaxies and the great voids in space. This is Smoot's account of his discovery of the driving mechanism of the universe, a discovery which will stimulate debate for years to come.
...more
",186
1,"
It was a dark and stormy night.Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure - one that will threaten their lives and our universe.Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's
It was a dark and stormy night.Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure - one that will threaten their lives and our universe.Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's classic Time Quintet.
...more
",187
2,"
Gonzales addresses her audience in a style and tone that are easily accessible and clearly up to the job of presenting a well-known author who has some fairly complex philosophical ideas and an unusual, although not iconoclastic, lifestyle. L'Engle comes across as a woman with an abiding commitment to her family as well as a lifelong lust for learning and the more
Gonzales addresses her audience in a style and tone that are easily accessible and clearly up to the job of presenting a well-known author who has some fairly complex philosophical ideas and an unusual, although not iconoclastic, lifestyle. L'Engle comes across as a woman with an abiding commitment to her family as well as a lifelong lust for learning and the more spiritual aspects of existence. There are a couple of awkward phrasings and a few places where unexplained questions persist. Some of the book's success is due to the author's direct contact with her subject; Gonzales has obviously interviewed her extensively. The bibliography is modest enough to entice rather than threaten reluctant younger readers and yet comprehensive enough to suggest to more scholarly readers that Gonzales has done her homework. While she is admiring and discreet, she has not sheltered or distorted the facts; even L'Engle's irritability in the morning hours comes through. The one shortfall of the book is the poor quality of some of the black-and-white photographs. Still, their informality and their unique, if somewhat second-rate photographic technique, give a sense of history to one of the great women in children's literature. --Ruth K. MacDonald, Purdue University Calumet, Hammond, IN
...more
",188
3,"
A Wrinkle in Time by Madeline L'Engle is a favorite middle-grade novel. This companion gives background on the author, including an interview, questions to guide reading, clues to themes, plot, characters, and setting of the book, a glossary, writing and other activities, and more. If you loved A Wrinkle in Time, you need this reading companion.
",189
4,"
It was a dark and stormy night.Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure - one that will threaten their lives and our universe.Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's
It was a dark and stormy night.Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure - one that will threaten their lives and our universe.Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's classic Time Quintet.
...more
",190
5,"
It was a dark and stormy night.Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure - one that will threaten their lives and our universe.Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's
It was a dark and stormy night.Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure - one that will threaten their lives and our universe.Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's classic Time Quintet.
...more
",194
6,"
This time-saving, easy-to-use teacher guide includes inspiring lesson plans which provide a comprehensive novel unit--the legwork is done for you! The guide incorporates essential reading, writing and thinking practice. (This is NOT the paperback novel.)
",197
7,"
A Wrinkle in Time, by Madeleine L'Engle, is a science-fantasy story that depicts the battle between good and evil. The Teaching Unit for A Wrinkle in Time gives you a comprehensive academic framework that saves you hours of prep work. You can rely on this well-researched unit as a strong base for your lesson plan — it was written by one of our seasoned educators with your
A Wrinkle in Time, by Madeleine L'Engle, is a science-fantasy story that depicts the battle between good and evil. The Teaching Unit for A Wrinkle in Time gives you a comprehensive academic framework that saves you hours of prep work. You can rely on this well-researched unit as a strong base for your lesson plan — it was written by one of our seasoned educators with your needs in mind.  Every Teaching Unit contains: • A list of academic objectives your students will meet • Questions for essay and discussion • A list of literary terms used in the book, with definitions • A test consisting of multiple-choice questions and free-response essay writing prompts • A chapter-by-chapter study guide consisting of vocabulary and questions about the book's plot, characters, literary techniques, and more • Answer keys for the multiple-choice test and study-guide questions Teaching Units are best used to teach students who are on grade level or in College Prep classes.
...more
",198
8,"
Four mature women from different parts of the world have chosen Tuscany as their retirement haven, expecting a quiet and tranquil existence. Little did they realize the adventures that awaited them. As their lively friendship develops, the best and the worst of each woman's past experiences and memories begin to emerge and just when you think you know what's next, a
Four mature women from different parts of the world have chosen Tuscany as their retirement haven, expecting a quiet and tranquil existence. Little did they realize the adventures that awaited them. As their lively friendship develops, the best and the worst of each woman's past experiences and memories begin to emerge and just when you think you know what's next, a completely unexpected twist in the story will keep you turning the pages way past your bedtime. You'll laugh and you'll cry with Carmela, Janet, Cecilia and Paula Jean. You'll walk through the streets of Florence with them and you'll swear you can smell the aroma of Italian cappuccinos. You'll partake of their struggles and celebrate their joys and when you reach the final page, you'll feel as if they could easily be your next door neighbors, your best friends. This is a real life book, based on real life women, who embrace each day with gusto, live their senior life to the maximum and invite you to do the same.
...more
",199
9,"
Robust, multiple-level reproducibles offer solutions based on the latest reading strategies. The packet includes content-rich activity sheets, quizzes, and a final exam for direct student use.
",200
10,"
Meg, su hermano y un amigo reciben la visita de las Señoras Qué, Quién y Cuál. Ellas les ayudarán a emprender un viaje a través del espacio y del tiempo, a través de las dimensiones y de las galaxias, en busca del padre de la protagonista, que está atrapado en Camazotz, un mundo extraño en el que todo el mundo hace exactamente lo mismo. Eso es porque los habitantes del
Meg, su hermano y un amigo reciben la visita de las Señoras Qué, Quién y Cuál. Ellas les ayudarán a emprender un viaje a través del espacio y del tiempo, a través de las dimensiones y de las galaxias, en busca del padre de la protagonista, que está atrapado en Camazotz, un mundo extraño en el que todo el mundo hace exactamente lo mismo. Eso es porque los habitantes del planeta están subyugados ante un cerebro que fija lo que todos harán: un comportamiento igual para todo el mundo. Una única opinión.
...more
",201
11,"
At an event honoring Daisy Bates as 1990's Distinguished Citizen then-governor Bill Clinton called her ""the most distinguished Arkansas citizen of all time."" Her classic account of the 1957 Little Rock School Crisis, The Long Shadow of Little Rock, couldn't be found on most bookstore shelves in 1962 and was banned throughout the South. In 1988, after the University of
At an event honoring Daisy Bates as 1990's Distinguished Citizen then-governor Bill Clinton called her ""the most distinguished Arkansas citizen of all time."" Her classic account of the 1957 Little Rock School Crisis, The Long Shadow of Little Rock, couldn't be found on most bookstore shelves in 1962 and was banned throughout the South. In 1988, after the University of Arkansas Press reprinted it, it won an American Book Award.On September 3, 1957, Gov. Orval Faubus called out the National Guard to surround all-white Central High School and prevent the entry of nine black students, challenging the Supreme Court's 1954 order to integrate all public schools. On September 25, Daisy Bates, an official of the NAACP in Arkansas, led the nine children into the school with the help of federal troops sent by President Eisenhower-the first time in eighty-one years that a president had dispatched troops to the South to protect the constitutional rights of black Americans. This new edition of Bates's own story about these historic events is being issued to coincide with the fiftieth anniversary of the Little Rock School crisis in 2007.
...more
",202
12,"
 We have seen these children--the shy and the sociable, the cautious and the daring--and wondered what makes one avoid new experience and another avidly pursue it. At the crux of the issue surrounding the contribution of nature to development is the study that Jerome Kagan and his colleagues have been conducting for more than two decades. In The Long Shadow of Temperament,
 We have seen these children--the shy and the sociable, the cautious and the daring--and wondered what makes one avoid new experience and another avidly pursue it. At the crux of the issue surrounding the contribution of nature to development is the study that Jerome Kagan and his colleagues have been conducting for more than two decades. In The Long Shadow of Temperament, Kagan and Nancy Snidman summarize the results of this unique inquiry into human temperaments, one of the best-known longitudinal studies in developmental psychology. These results reveal how deeply certain fundamental temperamental biases can be preserved over development.  Identifying two extreme temperamental types--inhibited and uninhibited in childhood, and high-reactive and low-reactive in very young babies--Kagan and his colleagues returned to these children as adolescents. Surprisingly, one of the temperaments revealed in infancy predicted a cautious, fearful personality in early childhood and a dour mood in adolescence. The other bias predicted a bold childhood personality and an exuberant, sanguine mood in adolescence. These personalities were matched by different biological properties. In a masterly summary of their wide-ranging exploration, Kagan and Snidman conclude that these two temperaments are the result of inherited biologies probably rooted in the differential excitability of particular brain structures. Though the authors appreciate that temperamental tendencies can be modified by experience, this compelling work--an empirical and conceptual tour-de-force--shows how long the shadow of temperament is cast over psychological development. 
...more
",203
13,"
1670 - Charles II and James IIMorland Place has flourished under Ralph's stewardship, while Annunciata is a great lady of the Court. Splendid futures seem to be promised for her children; but the religious rift opened by Henry VIII has never been fully healed, and conflict resurfaces at the accession of the Catholic James II. Frightening times ensue, when it is impossible
1670 - Charles II and James IIMorland Place has flourished under Ralph's stewardship, while Annunciata is a great lady of the Court. Splendid futures seem to be promised for her children; but the religious rift opened by Henry VIII has never been fully healed, and conflict resurfaces at the accession of the Catholic James II. Frightening times ensue, when it is impossible to know who to trust. Annunciata herself is put on trial, while jealousy, betrayal and sudden death threaten her family. And in the shadow of revolution comes a new love to Annunciata, one that can only lead to tragedy.
...more
",204
14,"
""Seamless in its storytelling and enthralling in its plotting.""--Ft. Lauderdale Sun-Sentinel""Dark and remarkable....Once [Todd] grabs you, there's no putting the novel down."" --Detroit Free PressThe Winston-Salem Journal declares that, ""like P. D. James and Ruth Rendell, Charles Todd writes novels that transcend genre."" A Long Shadow proves that statement true beyond the
""Seamless in its storytelling and enthralling in its plotting.""--Ft. Lauderdale Sun-Sentinel""Dark and remarkable....Once [Todd] grabs you, there's no putting the novel down."" --Detroit Free PressThe Winston-Salem Journal declares that, ""like P. D. James and Ruth Rendell, Charles Todd writes novels that transcend genre."" A Long Shadow proves that statement true beyond the shadow of a doubt. Once again featuring Todd's extraordinary protagonist, Scotland Yard investigator and shell-shocked World War One veteran, Inspector Ian Rutledge, A Long Shadow immerses readers in the sights and sounds of post-war Great Britain, as the damaged policeman pursues answers to a constable's slaying and the three-year-old mystery of a young girl's disappearance in a tiny Northamptonshire village. Read Todd's A Long Shadow and see why the Washington Post calls the Rutledge crime novels, ""one of the best historical series being written today.""
...more
",205
15,"
During the hottest days of the summer of 1863, while the nation's attention was focused on a small town in Pennsylvania known as Gettysburg, another momentous battle was being fought along the banks of the Mississippi. In the longest single campaign of the war, the siege of Vicksburg left 19,000 dead and wounded on both sides, gave the Union Army control of the
During the hottest days of the summer of 1863, while the nation's attention was focused on a small town in Pennsylvania known as Gettysburg, another momentous battle was being fought along the banks of the Mississippi. In the longest single campaign of the war, the siege of Vicksburg left 19,000 dead and wounded on both sides, gave the Union Army control of the Mississippi, and left the Confederacy cut in half. In this highly-anticipated new work, Christopher Waldrep takes a fresh look at how the Vicksburg campaign was fought and remembered. He begins with a gripping account of the battle, deftly recounting the experiences of African-American troops fighting for the Union. Waldrep shows how as the scars of battle faded, the memory of the war was shaped both by the Northerners who controlled the battlefield and by the legacies of race and slavery that played out over the decades that followed.
...more
",206
16,"
It started as a daydream. Poring over a map of the world at home one quiet Saturday afternoon, Ewan McGregor -- acclaimed actor and self-confessed bike nut -- noticed that it was possible to ride all the way round the world, with just one short hop across the Bering Strait from Russia to Alaska. It was a revelation he couldn't get out of his head. So he picked up the phone
It started as a daydream. Poring over a map of the world at home one quiet Saturday afternoon, Ewan McGregor -- acclaimed actor and self-confessed bike nut -- noticed that it was possible to ride all the way round the world, with just one short hop across the Bering Strait from Russia to Alaska. It was a revelation he couldn't get out of his head. So he picked up the phone and called his fellow actor-slash-biker friend Charley Boorman and told him it was time to hit the road....  Long Way Round  Beginning in London, Ewan and Charley chased their shadows through Europe, the Ukraine, Kazakhstan, Mongolia, and Russia; across the Pacific to Alaska; then down through Canada all the way to New York. Long Way Round is the result of their four-month, 20,000-mile joyride. Featuring original diary entries, travel maps, mileage charts, and dozens of photographs, this is a freewheeling, fully charged, and uproariously entertaining book about two world-famous individuals who chose the road not taken...and made the journey worthwhile.
...more
",207
17,"
The city-state of Saraykeht dominates the Summer Cities. Its wealth is beyond measure; its port is open to all the merchants of the world, and its ruler, the Khai Saraykeht, commands forces to rival the Gods. Commerce and trade fill the streets with a hundred languages, and the coffers of the wealthy with jewels and gold. Any desire, however exotic or base, can be
The city-state of Saraykeht dominates the Summer Cities. Its wealth is beyond measure; its port is open to all the merchants of the world, and its ruler, the Khai Saraykeht, commands forces to rival the Gods. Commerce and trade fill the streets with a hundred languages, and the coffers of the wealthy with jewels and gold. Any desire, however exotic or base, can be satisfied in its soft quarter. Blissfully ignorant of the forces that fuel their prosperity, the people live and work secure in the knowledge that their city is a bastion of progress in a harsh world. It would be a tragedy if it fell.Saraykeht is poised on the knife-edge of disaster.At the heart of the city's influence are the poet-sorcerer Heshai and the captive spirit, Seedless, whom he controls. For all his power, Heshai is weak, haunted by memories of shame and humiliation. A man faced with constant reminders of his responsibilities and his failures, he is the linchpin and the most vulnerable point in Saraykeht's greatness.Far to the west, the armies of Galt have conquered many lands. To take Saraykeht, they must first destroy the trade upon which its prosperity is based. Marchat Wilsin, head of Galt's trading house in the city, is planning a terrible crime against Heshai and Seedless. If he succeeds, Saraykeht will fall.Amat, House Wilsin's business manager, is a woman who rose from the slums to wield the power that Marchat Wilsin would use to destroy her city. Through accidents of fate and circumstance Amat, her apprentice Liat, and two young men from the farthest reaches of their society stand alone against the dangers that threaten the city.
...more
",208
18,"
Winner of the Pearson Writers' Trust Non-Fiction Prize, the inaugural Shaughnessy Cohen Prize for political writing, and the Dorothy Shoichet Prize for History from the Canadian Jewish Book Awards. One of the most urgent issues facing the world today is how countries shape historical memory in the aftermath of calamity, making decisions that cast long shadows into the
Winner of the Pearson Writers' Trust Non-Fiction Prize, the inaugural Shaughnessy Cohen Prize for political writing, and the Dorothy Shoichet Prize for History from the Canadian Jewish Book Awards. One of the most urgent issues facing the world today is how countries shape historical memory in the aftermath of calamity, making decisions that cast long shadows into the future. Combining gripping storytelling with sharp observation, Erna Paris takes us on an extraordinary journey through four continents to explore how nations reinvent themselves after cataclysmic events. She travels through the United States, with its long-buried memory of slavery; to South Africa, where the Truth and Reconciliation Commission struggles to heal the wounds left by apartheid; to Japan, France, and Germany, where the unresolved pain of Hiroshima and the Holocaust still resonate; and to the former Yugoslavia, where she exposes the cynical shaping of historical memory. Through its insightful analysis, Long Shadows compels us to question where we stand as individuals in relation to our own collective histories. 
...more
",210
19,"
I was Looking for a Street: The personal reminiscence of Willeford as an orphaned boy without expectations, cast adrift in the american Southwest during the erect Depression.Something about a Soldier: The funny, rich, raunchy auto biography that recreates the adventures of a very young soldier in the US army at the height of the Depression.
",212
20,"
Miami homicide detective Hoke Moseley is called to a posh Miami neighborhood to investigate a lethal overdose. There he meets the alluring stepmother of the decedant, and begins to wonder about dating a witness. Meanwile, he has been threatened with suspension by his ambitious new chief unless he leaves his beloved, if squalid, suite at the El Dorado Hotel, and moves
Miami homicide detective Hoke Moseley is called to a posh Miami neighborhood to investigate a lethal overdose. There he meets the alluring stepmother of the decedant, and begins to wonder about dating a witness. Meanwile, he has been threatened with suspension by his ambitious new chief unless he leaves his beloved, if squalid, suite at the El Dorado Hotel, and moves downtown. With free housing hard to come by, Hoke is desperate to find a new place to live. His difficulties are only amplified by an assignment to re-investigate fifty unsolved murders, the unexpected arrival of his two teenage daughters, and a partner struggling with an unwanted pregnancy. With few options and even fewer dollars, he decides that the suspicious and beautiful stepmother of the dead junkie might be a compromised solution to all of his problems.Packed with atmosphere and humor, New Hope for the Dead is a classic murder mystery by one of the true masters of the genre. Now back in print, Charles Willeford’s tour de force is an irresistible invitation to become acquainted with one of the greatest detective characters of all time.
...more
",213
21,"
Hoke Moseley has had enough. Tired of struggling against alimony payments, two teenage daughters, a very pregnant, very single partner, and a low paying job as a Miami homicide detective, Hoke moves to Singer Island and vows never step foot on the mainland again. But on the street, career criminal Troy Louden is hatching plans of his own with a gang including a disfigured
Hoke Moseley has had enough. Tired of struggling against alimony payments, two teenage daughters, a very pregnant, very single partner, and a low paying job as a Miami homicide detective, Hoke moves to Singer Island and vows never step foot on the mainland again. But on the street, career criminal Troy Louden is hatching plans of his own with a gang including a disfigured hooker, a talentless artist, and a clueless retiree. But when his simple robbery results in ruthless and indiscriminate bloodshed, Hoke quickly remembers why he is a cop and hurls himself back into the world he meant to leave behind forever.A masterly tale of both mid-life crisis and murder, Sideswipe is a page-turning thriller packed with laughs, loaded with suspense, and featuring one of the truly original detectives of all time.
...more
",214
22,"
When Miami Homicide Detective Hoke Moseley receives an unexplained order to let his beard grow, he doesn't think much about it. He has too much going on at home, especially with a man he helped convict ten years before moving in across the street. Hoke immediately assumes the worst, and considering he has his former partner, who happens to be nursing a newborn, and his two
When Miami Homicide Detective Hoke Moseley receives an unexplained order to let his beard grow, he doesn't think much about it. He has too much going on at home, especially with a man he helped convict ten years before moving in across the street. Hoke immediately assumes the worst, and considering he has his former partner, who happens to be nursing a newborn, and his two teenage daughters living with him, he doesn't like the situation on bit. It doesn't help matters when he is suddenly assigned to work undercover, miles away, outside of his jurisdiction and without his badge, his gun, or his teeth. Soon, he is impersonating a drifter and tring to infiltrate a farm operation suspected of murdering migrant workers. But when he gets there for his job interview, the last thing he is offered is work.In this final installment of the highly acclaimed Hoke Moseley novels, Charles Willeford's brilliance and expertise show on every page. Equally funny, thrilling, and disturbing, The Way We Die Now is a triumphant finish to one of the most original detective series of all time.
...more
",215
23,"
After a brutal day investigating a quadruple homicide, Detective Hoke Moseley settles into his room at the un-illustrious El Dorado Hotel and nurses a glass of brandy. With his guard down, he doesn’t think twice when he hears a knock on the door. The next day, he finds himself in the hospital, badly bruised and with his jaw wired shut. He thinks back over ten years of
After a brutal day investigating a quadruple homicide, Detective Hoke Moseley settles into his room at the un-illustrious El Dorado Hotel and nurses a glass of brandy. With his guard down, he doesn’t think twice when he hears a knock on the door. The next day, he finds himself in the hospital, badly bruised and with his jaw wired shut. He thinks back over ten years of cases wondering who would want to beat him into unconsciousness, steal his gun and badge, and most importantly, make off with his prized dentures. But the pieces never quite add up to revenge, and the few clues he has keep connecting to a dimwitted hooker, and her ex-con boyfriend and the bizarre murder of a Hare Krishna pimp.Chronically depressed, constantly strapped for money, always willing to bend the rules a bit, Hoke Moseley is hardly what you think of as the perfect cop, but he is one of the the greatest detective creations of all time.
...more
",216
24,"
A collection of three Charles Willeford thrillers. Cockfighter is set in the seamy underbelly of southern rural life in the USA; The Burnt Orange Heresy features an evil and complicated art-dealer; and Pick-Up tells the story of an alcoholic woman's attempts to avoid destroying herself.
",217
25,"
Richard Hudson, woman chaser and used car salesman, has a pimp's awareness of the ways women (and men) are most vulnerable. One day Richard decides to make an ambitious film, which turns into a fiasco. Enraged, he exacts revenge on all who have crossed him.
",218
26,"
This reissue of Willeford's 1963 pulp classic is a timely reminder that madness is truly the dark heart of politics. Written at a time when people still had faith in their elected leaders, Willeford's book laid bare the American dream. There is an almost Chekhovian wistfulness in the treatment of his stories, which belies their considerable impact. ""The most eloquently
This reissue of Willeford's 1963 pulp classic is a timely reminder that madness is truly the dark heart of politics. Written at a time when people still had faith in their elected leaders, Willeford's book laid bare the American dream. There is an almost Chekhovian wistfulness in the treatment of his stories, which belies their considerable impact. ""The most eloquently brainy and exacting pulp fiction ever fabricated!"" -- Village VoiceContains the stories:1. The Machine in Ward Eleven2. Selected Incidents3. A Letter to A.A. (Almost Anybody)4. Jake's Journal5. ""Just Like on Television--""6. The Alectrymancer
...more
",219
27,"
Jake Blake is a private detective short on cash when he meets a rich and beautiful young woman looking to escape her father’s smothering influence. Unfortunately for Jake, the smothering influence includes two thugs hired to protect her—and the woman is in fact not the daughter of the man she wants to escape, but his wife. Now Jake has two angry thugs and one jealous
Jake Blake is a private detective short on cash when he meets a rich and beautiful young woman looking to escape her father’s smothering influence. Unfortunately for Jake, the smothering influence includes two thugs hired to protect her—and the woman is in fact not the daughter of the man she wants to escape, but his wife. Now Jake has two angry thugs and one jealous husband on his case. As Jake becomes more deeply involved with this glamorous and possibly crazy woman, he becomes entangled in a web of deceit, intrigue—and multiple murders. Brilliant, sardonic, and full of surprises, Wild Wives is one wild ride.
...more
",221
